x0000,y0000
0.0196189546,0.4107187631
0.0196580362,0.4065691893
0.0196971177,0.4161787287
0.0197361993,0.6494284567
0.0197752809,0.7110168680
0.0198143625,0.6957289645
0.0198534441,0.5616322108
0.0198925256,0.6374165325
0.0199316072,0.555735448
0.0199706888,0.6874298169
0.0200097704,0.5288724175
0.020048852,0.5767017157
0.0200879336,0.6105535020
0.0201270151,0.6162318662
0.0201660967,0.6640611644
0.0202051783,0.6347957490
0.0202442599,0.5635977984
0.0202833415,0.4891238683
0.0203224231,0.6245310138
0.0203615046,0.8887933461
0.0204005862,0.6214734331
0.0204396678,0.714511246
0.0204787494,0.6328301614
0.020517831,0.8970924938
0.0205569126,0.6612219823
0.0205959941,0.8276417320
0.0206350757,0.8261129417
0.0206741573,0.7372247026
0.0207132389,0.9313810774
0.0207523205,0.7933531484
0.0207914021,0.9418642112
0.0208304836,0.8003419043
0.0208695652,0.7254311771
0.0209086468,0.7868011898
0.0209477284,0.8097330451
0.02098681,0.9934062859
0.0210258915,0.9180587614
0.0210649731,0.8918509268
0.0211040547,0.6909241948
0.0211431363,0.8119170313
0.0211822179,0.9429562043
0.0212212995,0.9062652359
0.0212603810,1.0128437633
0.0212994626,1.0073837977
0.0213385442,0.9110700055
0.0213776258,0.9582441078
0.0214167074,0.8794022054
0.021455789,0.7134192529
0.0214948705,0.7854907980
0.0215339521,0.7804676297
0.0215730337,0.8488263984
0.0216121153,0.8820229889
0.0216511969,0.9012420676
0.0216902785,0.8226185637
0.0217293600,0.8350672852
0.0217684416,1.0080389936
0.0218075232,1.0549946973
0.0218466048,0.766490118
0.0218856864,0.8383432645
0.021924768,0.8715398550
0.0219638495,0.8033994850
0.0220029311,0.8577807418
0.0220420127,0.9331282663
0.0220810943,0.7005337342
0.0221201759,0.6328301614
0.0221592574,0.6105535020
0.0221983390,0.8925061227
0.0222374206,1.0619834532
0.0222765022,1.0737769787
0.0223155838,1.0578338794
0.0223546654,1.0311892475
0.0223937469,0.8579991405
0.0224328285,0.8282969279
0.0224719101,0.8337568935
0.0225109917,0.8949085075
0.0225500733,0.9246107201
0.0225891549,0.9368410429
0.0226282364,0.9278866994
0.0226673180,0.8946901089
0.0227063996,0.8999316758
0.0227454812,0.891195731
0.0227845628,0.7461790461
0.0228236444,0.8494815942
0.0228627259,0.7501102213
0.0229018075,0.6402557146
0.0229408891,0.6808778582
0.0229799707,0.7634325372
0.0230190523,0.7619037469
0.0230581339,0.7079592873
0.0230972154,0.7590645648
0.0231362970,0.7610301524
0.0231753786,0.7315463385
0.0232144602,0.6673371437
0.0232535418,0.7533862006
0.0232926234,0.7029361190
0.0233317049,0.7330751288
0.0233707865,0.6931081810
0.0234098681,0.7686741042
0.0234489497,0.5959207944
0.0234880313,0.8009971002
0.0235271128,0.7365695068
0.0235661944,0.7455238503
0.0236052760,0.8418376425
0.0236443576,0.8438032301
0.0236834392,0.7791572380
0.0237225208,0.8719766523
0.0237616023,0.8562519515
0.0238006839,0.931599476
0.0238397655,1.0065102032
0.0238788471,0.8612751198
0.0239179287,1.0449483607
0.0239570103,0.875034233
0.0239960918,1.0235452957
0.0240351734,0.7280519605
0.0240742550,0.6603483878
0.0241133366,0.6800042637
0.0241524182,0.8569071474
0.0241914998,0.9949350763
0.0242305813,0.9789919769
0.0242696629,0.6800042637
0.0243087445,0.7905139663
0.0243478261,0.8064570657
0.0243869077,0.6686475354
0.0244259893,0.8315729072
0.0244650708,0.8403088521
0.0245041524,0.8282969279
0.0245432340,0.7147296446
0.0245823156,0.7239023867
0.0246213972,0.7503286199
0.0246604787,0.7629957400
0.0246995603,0.7265231702
0.0247386419,0.8403088521
0.0247777235,0.82480255
0.0248168051,0.8789654082
0.0248558867,0.9508185547
0.0248949682,0.690268999
0.0249340498,0.8846437723
0.0249731314,1.0017054336
0.025012213,0.6677739409
0.0250512946,0.8272049348
0.0250903762,0.9687272417
0.0251294577,1.0054182101
0.0251685393,0.9021156621
0.0252076209,0.8374696700
0.0252467025,0.7273967647
0.0252857841,0.6282437904
0.0253248657,0.4941470366
0.0253639472,0.6679923395
0.0254030288,0.6492100581
0.0254421104,0.6688659340
0.025481192,0.6046567392
0.0255202736,0.5579194342
0.0255593552,0.4869398821
0.0255984367,0.4860662876
0.0256375183,0.6669003464
0.0256765999,0.5782305060
0.0257156815,0.5664369804
0.0257547631,0.7156032391
0.0257938447,0.6339221546
0.0258329262,0.4823535111
0.0258720078,0.4115923576
0.0259110894,0.3827637396
0.025950171,0.5987599765
0.0259892526,0.3004274592
0.0260283341,0.1462380322
0.0260674157,0.3379920221
0.0261064973,0.5574826369
0.0261455789,0.4899974628
0.0261846605,0.3388656166
0.0262237421,0.2753116177
0.0262628236,0.4074427838
0.0263019052,0.4347426115
