x0000,y0000,x0001,y0001,x0002,y0002,x0003,y0003,x0004,y0004,x0005,y0005
1745249687.123,0.82,,,1753087304.456,0.6,1756909661.148,0.65,1756963127.301,0.66,1756984107.769,0.67
1745249702.513,0.82,,,1753087319.846,0.6,1756909688.789,0.65,1756963142.689,0.67,1756984123.159,0.66
1745249717.903,0.81,,,1753087335.236,0.6,1756909704.178,0.66,1756963158.081,0.66,1756984138.549,0.66
1745249733.293,0.82,,,1753087350.626,0.6,1756909719.568,0.65,1756963185.721,0.67,1756984166.199,0.67
1745249748.683,0.83,,,1753087366.026,0.61,1756909734.958,0.65,1756963201.111,0.66,1756984181.589,0.66
1745249764.074,0.82,,,1753087381.416,0.6,1756909750.348,0.65,1756963216.51,0.66,1756984196.979,0.66
1745249779.463,0.82,,,1753087396.816,0.61,1756909765.738,0.65,1756963231.901,0.67,,
1745249794.853,0.82,,,1753087412.206,0.6,1756909781.128,0.66,1756963247.291,0.66,,
1745249810.243,0.82,,,1753087427.597,0.6,1756909796.518,0.66,1756963262.681,0.67,,
1745249825.633,0.82,,,1753087442.986,0.6,1756909811.908,0.66,1756963278.071,0.67,,
1745249841.023,0.82,,,1753087458.376,0.6,1756909827.298,0.66,1756963293.461,0.67,,
1745249856.413,0.82,,,1753087473.766,0.62,1756909842.689,0.66,1756963308.851,0.67,,
1745249871.803,0.82,,,1753087489.156,0.61,1756909854.728,0.66,1756963324.241,0.66,,
1745249899.443,0.81,,,1753087504.546,0.61,1756909870.118,0.67,1756963339.631,0.65,,
1745249914.833,0.82,,,1753087519.936,0.61,1756909885.508,0.66,1756963351.67,0.67,,
1745249930.223,0.81,,,1753087535.326,0.6,1756909900.898,0.66,1756963367.061,0.67,,
1745249945.613,0.82,,,1753087550.719,0.6,1756909916.288,0.66,1756963382.451,0.67,,
1745249961.012,0.82,,,1753087578.356,0.61,1756909931.688,0.66,1756963397.851,0.67,,
1745249976.403,0.82,,,1753087593.746,0.61,1756909947.078,0.66,1756963413.241,0.67,,
1745249991.795,0.82,,,1753087609.136,0.61,1756909962.468,0.67,1756963428.64,0.67,,
1745250007.183,0.82,,,1753087624.527,0.61,1756909977.858,0.67,1756963444.031,0.67,,
1745250022.573,0.83,,,1753087639.916,0.6,1756909993.248,0.67,1756963459.421,0.68,,
1745250037.963,0.82,,,1753087655.306,0.6,1756910008.638,0.66,1756963474.811,0.67,,
1745250053.353,0.81,,,1753087670.696,0.61,1756910024.028,0.67,1756963490.201,0.68,,
1745250065.393,0.82,,,1753087686.086,0.61,1756910039.418,0.67,1756963505.591,0.67,,
